,precision,recall,f1-score,support,iou
Background,0.7733239875019305,0.6715880483677933,0.7188744153685593,96924.0,0.5611272025102099
Meadow,0.5588613552895005,0.7754189738589746,0.649566195620348,54359.0,0.4810055802169916
Soft Winter Wheat,0.6513253012048192,0.6110545947778908,0.6305476176590658,35388.0,0.4604377821308959
Corn,0.5156279104422009,0.43904837430610627,0.47426672149122806,31525.0,0.31084510521698955
Winter Barley,0.5412639405204461,0.37079796264855686,0.4401007556675063,11780.0,0.28213409120250477
Winter Rapeseed,0.860298246708679,0.7957063711911357,0.8267426172987558,17328.0,0.7046557980269307
Spring Barley,0.0,0.0,0.0,153.0,0.0
Sunflower,0.39361702127659576,0.012977902490354262,0.025127334465195245,2851.0,0.012723521320451433
Winter Triticale,0.0,0.0,0.0,1612.0,0.0
Winter Durum Wheat,0.0,0.0,0.0,306.0,0.0
Fruits/Vegetables/Flowers,0.0,0.0,0.0,2643.0,0.0
Leguminous Fodder,0.0,0.0,0.0,1778.0,0.0
Soybeans,0.37084940624763635,0.7091408735898178,0.48701266451452696,13828.0,0.3218881302519952
Mixed Cereal,0.0,0.0,0.0,674.0,0.0
Sorghum,0.0,0.0,0.0,665.0,0.0
accuracy,0.6280324045119089,0.6280324045119089,0.6280324045119089,0.6280324045119089,0.6280324045119089
macro avg,0.3110111446127872,0.29238220674870863,0.283482554805679,271814.0,
weighted avg,0.6334137063142308,0.6280324045119089,0.6201566596327708,271814.0,
