,Background,Meadow,Soft Winter Wheat,Corn,Winter Barley,Winter Rapeseed,Spring Barley,Sunflower,Winter Triticale,Winter Durum Wheat,Fruits/Vegetables/Flowers,Leguminous Fodder,Soybeans,Mixed Cereal,Sorghum
Background,74202,19202,890,768,188,547,0,0,0,0,0,5,1122,0,0
Meadow,11556,41855,386,205,61,42,0,0,0,0,0,96,158,0,0
Soft Winter Wheat,5389,2008,22796,2171,641,129,0,0,116,0,0,0,2138,0,0
Corn,7168,4133,3347,12412,416,318,0,0,0,0,0,0,3731,0,0
Winter Barley,1289,1087,3903,729,3480,254,0,0,0,0,0,0,1038,0,0
Winter Rapeseed,1126,1265,590,158,350,13706,0,0,0,0,0,0,133,0,0
Spring Barley,77,0,0,76,0,0,0,0,0,0,0,0,0,0,0
Sunflower,620,29,135,590,0,120,0,0,0,0,0,0,1357,0,0
Winter Triticale,370,32,509,500,0,0,0,0,0,0,0,0,201,0,0
Winter Durum Wheat,44,0,251,11,0,0,0,0,0,0,0,0,0,0,0
Fruits/Vegetables/Flowers,1063,745,1,234,0,23,0,0,0,0,0,0,577,0,0
Leguminous Fodder,257,1097,26,83,0,0,0,0,0,0,0,0,315,0,0
Soybeans,2010,254,265,1560,0,73,0,0,0,0,0,0,9666,0,0
Mixed Cereal,205,28,4,71,0,0,0,0,0,0,0,0,366,0,0
Sorghum,37,621,5,0,2,0,0,0,0,0,0,0,0,0,0
